<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.15	03:29:00	1.11888	1.11888	1.11882	1.11882	16	0	2
2025.05.15	03:30:00	1.11883	1.11896	1.11879	1.11882	33	0	2
2025.05.15	03:31:00	1.11884	1.11914	1.11883	1.11914	55	0	2
2025.05.15	03:32:00	1.11912	1.11925	1.11906	1.11919	58	0	2
2025.05.15	03:33:00	1.11920	1.11943	1.11919	1.11942	67	0	2
2025.05.15	03:34:00	1.11940	1.11940	1.11913	1.11920	35	0	2
2025.05.15	03:35:00	1.11921	1.11922	1.11893	1.11904	45	0	2
2025.05.15	03:36:00	1.11901	1.11907	1.11894	1.11907	40	0	2
2025.05.15	03:37:00	1.11908	1.11908	1.11896	1.11905	31	0	2
2025.05.15	03:38:00	1.11906	1.11924	1.11904	1.11907	46	0	2
2025.05.15	03:39:00	1.11908	1.11909	1.11898	1.11900	29	0	2
2025.05.15	03:40:00	1.11902	1.11914	1.11887	1.11892	56	0	2
2025.05.15	03:41:00	1.11893	1.11894	1.11885	1.11892	36	0	2
2025.05.15	03:42:00	1.11889	1.11889	1.11862	1.11866	43	0	2
2025.05.15	03:43:00	1.11866	1.11883	1.11861	1.11879	46	0	2
2025.05.15	03:44:00	1.11880	1.11882	1.11869	1.11873	24	0	3
2025.05.15	03:45:00	1.11872	1.11873	1.11861	1.11862	41	0	2
2025.05.15	03:46:00	1.11861	1.11877	1.11861	1.11863	33	0	2
2025.05.15	03:47:00	1.11862	1.11868	1.11861	1.11867	19	0	2
2025.05.15	03:48:00	1.11866	1.11881	1.11866	1.11877	29	0	2
2025.05.15	03:49:00	1.11877	1.11877	1.11861	1.11863	31	0	2
2025.05.15	03:50:00	1.11862	1.11882	1.11856	1.11871	54	0	2
2025.05.15	03:51:00	1.11877	1.11891	1.11874	1.11889	36	0	2
2025.05.15	03:52:00	1.11890	1.11902	1.11876	1.11901	44	0	2
2025.05.15	03:53:00	1.11902	1.11923	1.11902	1.11923	60	0	2
2025.05.15	03:54:00	1.11922	1.11926	1.11911	1.11911	78	0	2
2025.05.15	03:55:00	1.11911	1.11923	1.11901	1.11915	100	0	2
2025.05.15	03:56:00	1.11913	1.11921	1.11906	1.11920	72	0	2
2025.05.15	03:57:00	1.11924	1.11930	1.11914	1.11915	48	0	2
2025.05.15	03:58:00	1.11916	1.11931	1.11915	1.11924	55	0	2
2025.05.15	03:59:00	1.11924	1.11929	1.11912	1.11914	51	0	2
2025.05.15	04:00:00	1.11915	1.11937	1.11915	1.11930	46	0	2
2025.05.15	04:01:00	1.11932	1.11949	1.11931	1.11936	67	0	2
2025.05.15	04:02:00	1.11933	1.11956	1.11932	1.11947	61	0	2
2025.05.15	04:03:00	1.11947	1.11963	1.11945	1.11962	59	0	2
2025.05.15	04:04:00	1.11960	1.11960	1.11945	1.11949	31	0	2
2025.05.15	04:05:00	1.11949	1.11950	1.11925	1.11928	57	0	2
2025.05.15	04:06:00	1.11929	1.11934	1.11916	1.11927	41	0	2
2025.05.15	04:07:00	1.11924	1.11924	1.11912	1.11917	34	0	2
