<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.16	01:22:00	0.89423	0.89430	0.89420	0.89424	43	0	7
2025.05.16	01:24:00	0.89424	0.89435	0.89420	0.89432	61	0	3
2025.05.16	01:26:00	0.89432	0.89432	0.89421	0.89424	22	0	6
2025.05.16	01:28:00	0.89423	0.89430	0.89423	0.89425	27	0	6
2025.05.16	01:30:00	0.89425	0.89430	0.89419	0.89428	43	0	6
2025.05.16	01:32:00	0.89426	0.89428	0.89409	0.89415	43	0	5
2025.05.16	01:34:00	0.89415	0.89416	0.89396	0.89398	35	0	4
2025.05.16	01:36:00	0.89400	0.89405	0.89397	0.89404	36	0	7
2025.05.16	01:38:00	0.89403	0.89404	0.89389	0.89389	29	0	4
2025.05.16	01:40:00	0.89390	0.89398	0.89389	0.89397	13	0	7
2025.05.16	01:42:00	0.89396	0.89402	0.89385	0.89387	42	0	5
2025.05.16	01:44:00	0.89387	0.89407	0.89387	0.89400	56	0	5
2025.05.16	01:46:00	0.89399	0.89399	0.89390	0.89390	10	0	7
2025.05.16	01:48:00	0.89385	0.89398	0.89381	0.89381	31	0	4
2025.05.16	01:50:00	0.89381	0.89391	0.89381	0.89391	26	0	5
2025.05.16	01:52:00	0.89388	0.89392	0.89386	0.89391	24	0	6
2025.05.16	01:54:00	0.89393	0.89397	0.89384	0.89396	30	0	7
2025.05.16	01:56:00	0.89396	0.89397	0.89378	0.89391	38	0	6
2025.05.16	01:58:00	0.89390	0.89397	0.89377	0.89385	86	0	3
2025.05.16	02:00:00	0.89384	0.89393	0.89346	0.89347	102	0	2
2025.05.16	02:02:00	0.89349	0.89351	0.89342	0.89345	60	0	4
2025.05.16	02:04:00	0.89345	0.89354	0.89343	0.89352	38	0	3
2025.05.16	02:06:00	0.89352	0.89352	0.89344	0.89351	22	0	6
2025.05.16	02:08:00	0.89350	0.89368	0.89348	0.89365	83	0	6
2025.05.16	02:10:00	0.89366	0.89366	0.89359	0.89363	15	0	4
2025.05.16	02:12:00	0.89359	0.89371	0.89358	0.89363	34	0	7
2025.05.16	02:14:00	0.89363	0.89371	0.89361	0.89365	48	0	7
2025.05.16	02:16:00	0.89365	0.89366	0.89342	0.89352	58	0	2
2025.05.16	02:18:00	0.89353	0.89360	0.89352	0.89360	11	0	8
2025.05.16	02:20:00	0.89358	0.89360	0.89354	0.89355	28	0	7
2025.05.16	02:22:00	0.89352	0.89352	0.89338	0.89339	55	0	4
2025.05.16	02:24:00	0.89340	0.89357	0.89340	0.89357	36	0	6
2025.05.16	02:26:00	0.89358	0.89367	0.89356	0.89366	21	0	7
2025.05.16	02:28:00	0.89366	0.89381	0.89364	0.89380	28	0	7
2025.05.16	02:30:00	0.89380	0.89388	0.89368	0.89368	59	0	8
